Time History ID,DCR,Sa
1,0.8052848546004506,0.8295726225821747
2,0.7438587463560354,0.40739911419907243
3,0.515302243521354,0.3351164740876582
4,0.4039797521675119,0.35865000290462185
5,0.27053236545783815,0.2986122604712634
6,0.4749911819683297,0.35726308619569347
7,0.5214078398184993,0.3694735569981395
8,0.4025801188225042,0.36470894344915894
9,0.9502957678355395,0.6922022454868304
10,0.7113411070789538,0.4249904708209834
11,0.26296727126915337,0.16301430146875162
12,0.5998090103594931,0.4979399970620034
13,0.726097375452569,0.4043869130934674
14,0.4912099879005501,0.4212794670187748
15,0.14103055104032533,0.1685685580928254
16,0.21134896880938558,0.18170838888525676
17,0.13792933526783402,0.190173864481664
18,0.14202478428553547,0.1861057983560057
19,0.14886369435279653,0.20431675274992986
20,0.510387114453466,0.3715850804462011
21,0.5084975231226494,0.43853207403695016
22,0.6806151247821125,0.4640800165874728
23,0.10330214356358891,0.1729425067155107
24,0.40074825495953537,0.23820693866752754
25,0.3818223545361661,0.3287411773944673
