Time History ID,DCR,Sa
1,0.4670537642137468,0.8295726225821747
2,0.3512186658567742,0.40739911419907243
3,0.2626280112663786,0.3351164740876582
4,0.23777229838496242,0.35865000290462185
5,0.1898383524372367,0.2986122604712634
6,0.20955296363772025,0.35726308619569347
7,0.24338235162748667,0.3694735569981395
8,0.291890853526686,0.36470894344915894
9,0.5691246389731348,0.6922022454868304
10,0.39163149689808185,0.4249904708209834
11,0.26683816852500924,0.16301430146875162
12,0.27997838989046503,0.4979399970620034
13,0.3511389852566854,0.4043869130934674
14,0.2540789215966432,0.4212794670187748
15,0.09752469372988924,0.1685685580928254
16,0.20943003545832223,0.18170838888525676
17,0.11482549726359403,0.190173864481664
18,0.1309412433814935,0.1861057983560057
19,0.09537098777449178,0.20431675274992986
20,0.30931617986880955,0.3715850804462011
21,0.31891102725033943,0.43853207403695016
22,0.44065818895941283,0.4640800165874728
23,0.0792495718645186,0.1729425067155107
24,0.16915783900269676,0.23820693866752754
25,0.2352283335538917,0.3287411773944673
