Time History ID,DCR,Sa
1,1.4152566425310966,0.8295726225821747
2,1.2501124553121135,0.40739911419907243
3,0.9345216901371322,0.3351164740876582
4,0.7821424467001054,0.35865000290462185
5,0.38886906398946974,0.2986122604712634
6,0.9202241218473709,0.35726308619569347
7,0.9526949800635802,0.3694735569981395
8,0.7105870658662092,0.36470894344915894
9,1.5304944195060945,0.6922022454868304
10,1.3820532417535296,0.4249904708209834
11,0.5465971838608902,0.16301430146875162
12,1.043348420865922,0.4979399970620034
13,1.2314559990154084,0.4043869130934674
14,0.8677668009819206,0.4212794670187748
15,0.2621395762812491,0.1685685580928254
16,0.42900109916875073,0.18170838888525676
17,0.23521107863481833,0.190173864481664
18,0.26822292807357395,0.1861057983560057
19,0.2801008964452617,0.20431675274992986
20,0.8847867260245289,0.3715850804462011
21,0.9901014087286535,0.43853207403695016
22,1.2250137807453123,0.4640800165874728
23,0.20316782195702993,0.1729425067155107
24,0.7745572542207989,0.23820693866752754
25,0.6059477770129819,0.3287411773944673
