IM,DCR
0,0
0.05000000000000128,0.029018203271767583
0.10000000000000256,0.09105135164225885
0.14999999999983407,0.20251620062095563
0.20000000000000512,0.3371356726276004
0.250000000000063,0.4479200716950826
0.30000000000012084,0.5519951596413899
0.3499999999994997,0.6429891100406085
0.40000000000001024,0.7279112204097014
0.44999999999961543,0.8074364601391902
0.49999999999922057,0.8821330726903273
0.5499999999992784,0.9449456087929515
0.6000000000002417,0.999098922201781
0.6499999999993942,1.3080589495019368
