IM,DCR
0,0
0.05000000000002655,0.023809026043451434
0.1000000000000531,0.06785823997718886
0.14999999999990987,0.16372767119714868
0.2000000000001062,0.2546218184300765
0.25000000000007616,0.32991580773667145
0.2999999999995934,0.3937869496782774
0.34999999999978976,0.44909694140163436
0.4000000000002124,0.5281750860220167
0.4499999999997297,0.6378287671361452
0.4999999999996997,0.7492419838409515
0.5499999999996695,0.8565073117270781
0.5999999999991869,0.9501838327809367
0.6499999999996094,1.2097095634367696
