IM,DCR
0,0
0.04999999999996334,0.028034565186887163
0.09999999999992668,0.08860040509898186
0.15000000000000321,0.16729087499250006
0.19999999999985335,0.24559886223138896
0.24999999999981676,0.3046188780149588
0.30000000000000643,0.3905447890161103
0.35000000000019615,0.4743131055552503
0.3999999999997067,0.582135138964329
0.4499999999994438,0.6832478612522327
0.4999999999996335,0.7741639305679296
0.5499999999993704,0.8632829659934752
0.6000000000000129,0.9515366560465562
0.6500000000002025,1.199726362323104
