IM,DCR
0,0
0.04999999999999849,0.03430517504906828
0.09999999999999698,0.08109316131267544
0.15000000000010863,0.20078464453065412
0.19999999999999396,0.28276025390650517
0.24999999999999242,0.35542042034777566
0.30000000000021726,0.42361828915170413
0.3500000000002157,0.5107354922822818
0.3999999999999879,0.5978757712894586
0.4500000000002127,0.6726762252852913
0.4999999999999849,0.7375915506430043
0.5500000000002098,0.7898555266552862
0.5999999999995292,0.8281903266554642
0.649999999999754,0.8583043456172293
0.699999999999979,0.8801716231794077
0.750000000001109,0.9072146519521364
0.7999999999999758,1.1828828807196332
