IM,DCR
0,0
0.049999999999994126,0.025511996891615856
0.09999999999998825,0.07902020755476785
0.15000000000009556,0.1543624028705054
0.1999999999999765,0.24443122287547686
0.25000000000008377,0.347583275757822
0.3000000000004175,0.43312555031051425
0.3500000000002984,0.5152439416728218
0.4000000000004057,0.5991535979561311
0.4500000000000603,0.6698955821551053
0.5000000000006203,0.7353964578815193
0.5500000000002748,0.8042952564371441
0.6000000000003822,0.9024367292183288
0.6500000000004895,1.2025436801988345
