IM,DCR,P,Upper,Lower
0.01,0.004094462030492153,2.848965477770217e-84,4.925623013763526e-76,6.077910683169867e-93
0.02,0.010106990505898028,1.6862174996761604e-59,1.2119420333995974e-52,8.662975933566737e-67
0.03,0.017146511407219123,4.733782613792642e-47,5.306085481710702e-41,1.5609903838870863e-53
0.04,0.024948639485621097,3.9268874111821924e-39,1.1794278100128126e-33,4.837357021137537e-45
0.05,0.03337179008604493,1.6397975975109634e-33,1.7752884263062648e-28,5.609449834042704e-39
0.060000000000000005,0.042325371858731184,2.9467163375753694e-29,1.3872309983945603e-24,2.3204419714051056e-34
0.06999999999999999,0.05174556466501355,6.755316902791775e-26,1.5740728535226466e-21,1.0758604642285128e-30
0.08,0.06158456484353723,3.67477513385681e-23,4.659641143942009e-19,1.0766149022360807e-27
0.09,0.07180500179227609,6.971007200509488e-21,5.171538064349286e-17,3.4946422017911995e-25
0.09999999999999999,0.08237672325512713,5.943925502010085e-19,2.731672702638439e-15,4.815592976507683e-23
0.11,0.09327480170230519,2.7146449496273996e-17,8.0946754205921e-14,3.393759045341722e-21
0.12,0.10447822652867053,7.530125586816548e-16,1.5136633630247721e-12,1.3982228933024922e-19
0.13,0.1159690074606052,1.3920943139713339e-14,1.9480328915861398e-11,3.71805096630018e-18
0.14,0.12773153759805683,1.8401750696002463e-13,1.8424190040915237e-10,6.878682254514763e-17
0.15000000000000002,0.13975212741706924,1.8365578852960576e-12,1.3471172077229697e-09,9.384480329395027e-16
0.16,0.15201865533203532,1.4445031871548653e-11,7.924035746445397e-09,9.884617025769913e-15
0.17,0.16452030009628638,9.26600461726584e-11,3.8710528923724366e-08,8.339153804674974e-14
0.18000000000000002,0.1772473321246778,4.984302032812708e-10,1.6115438169992426e-07,5.805844987669462e-13
0.19,0.1901909481717075,2.300212254485381e-09,5.839227969153979e-07,3.418614915412316e-12
0.2,0.20334313852373992,9.281289196288249e-09,1.873982574615738e-06,1.7375294992396094e-11
