SL,a,b,beta
DS1,1.6573421572152516,1.3036076647002015,0.28318069756554337
DS2,0.7035185440859717,0.9736064488422651,0.28364790284169006
DST,2.7402839585688445,1.2251210223014615,0.3108480124294481
