IM,DCR,P,Upper,Lower
0.01,0.009717477053632026,1.482672553248022e-50,2.8696122551225314e-44,2.8306117331270445e-57
0.02,0.0227170377549711,2.1065213469399075e-34,2.696110141040817e-29,6.094326909640737e-40
0.03,0.03733230481326087,1.9010948654386557e-26,4.986403072087249e-22,2.6892326614429263e-31
0.04,0.05310676850715045,1.804999128654077e-21,1.5416669060935348e-17,7.857079055842044e-26
0.05,0.06980336676136956,5.455358779642758e-18,1.9557181560432605e-14,5.6697397325061605e-22
0.060000000000000005,0.08727361775513086,2.1589811327388174e-15,3.8148323371061424e-12,4.562670638363306e-19
0.06999999999999999,0.10541463237027109,2.2802099235760087e-13,2.218925070746594e-10,8.770756297605278e-17
0.08,0.12415037962662642,9.630569683729832e-12,5.598676586172638e-09,6.2165462925205355e-15
0.09,0.14342210174289097,2.0879372235938813e-10,7.716893100335078e-08,2.1256843151676893e-13
0.09999999999999999,0.163182862114343,2.737382630311685e-09,6.756420053306795e-07,4.185229317341357e-12
0.11,0.18339419925186998,2.4291484374286897e-08,4.1669817513892155e-06,5.3604364904742844e-11
0.12,0.20402395175352675,1.5813111952569065e-07,1.9486183920406722e-05,4.873805706946274e-10
0.13,0.2250447792656953,8.011973687723659e-07,7.292742972828433e-05,3.3550648304698597e-09
0.14,0.24643311944706844,3.303880310236169e-06,0.00022749297598564458,1.8359458510896448e-08
0.15000000000000002,0.26816842998906765,1.1476979727755006e-05,0.0006102816860367017,8.292644640147343e-08
0.16,0.29023262372592223,3.4505490227821434e-05,0.0014427950571647013,3.1846382878928893e-07
0.17,0.3126096385061231,9.174146333053807e-05,0.003065096702783184,1.0647217126702685e-06
0.18000000000000002,0.3352851035519345,0.00021949564469081654,0.005943842029151125,3.1589592055722253e-06
0.19,0.358246076449231,0.0004793575065027811,0.010657156424275923,8.449039267858284e-06
0.2,0.3814808328495332,0.0009669115813225453,0.0178551076261334,2.063861095536928e-05
0.21000000000000002,0.40497869618883275,0.0018192133165178663,0.02820084852757074,4.6547268171039215e-05
0.22,0.4287298982496969,0.003219232749086654,0.042302207689146686,9.782296655341273e-05
0.23,0.4527254638209382,0.00539574848111093,0.06064532631841025,0.0001930704822720196
0.24000000000000002,0.4769571144159223,0.008617820836218726,0.08354081722230267,0.00036026983449265247
0.25,0.5014171872318558,0.013183830409498559,0.11108968000770825,0.00063927029372447
0.26,0.5260985664202967,0.019405933248077115,0.14317205020064971,0.0010840783364095372
0.27,0.5509946243940853,0.02759147485420858,0.17945790274694057,0.0017646275084521824
0.28,0.5760991713854318,0.038023304944655494,0.2194358271170439,0.0027677329500286926
0.29000000000000004,0.6014064118402617,0.05094100612049782,0.2624542658767167,0.0041969925776587326
0.3,0.6269109065172441,0.06652482588017179,0.3077691245764281,0.006171491646462502
0.31,0.6526075393789195,0.08488366381633738,0.35459215434131663,0.008823282988779154
0.32,0.6784914885332092,0.1060479154650828,0.40213562336165226,0.012293734718899456
0.33,0.7045582006181055,0.12996740846478466,0.4496501834565263,0.016728944656379228
0.34,0.7308033681290939,0.15651416301040166,0.49645422703326875,0.0222745036646028
0.35000000000000003,0.7572229092742463,0.18548931738505237,0.54195423469094,0.02906994089960569
0.36000000000000004,0.783812950010709,0.21663330332489145,0.585656539788785,0.037243200151276815
0.37,0.8105698079720858,0.24963823460295526,0.6271715596228833,0.04690548015280258
0.38,0.8374899780417449,0.2841614684548295,0.6662118875018159,0.05814672849577789
0.39,0.8645701193644503,0.31983938681929674,0.7025857566772857,0.0710320162487106
0.4,0.8918070436195781,0.3563005930595451,0.7361873362003788,0.08559894690032716
0.41000000000000003,0.9191977044047842,0.3931779014408539,0.7669851589735012,0.10185617682077414
0.42000000000000004,0.946739187600356,0.4301186870288114,0.7950097637323457,0.11978305186150418
0.43,0.9744287026023852,0.4667933444130038,0.8203413942974189,0.13933030116923129
0.44,1.0022635743279718,0.5029017623088508,0.8430983685078259,0.16042167814584263
0.45,1.0302412359084105,0.5381778506555053,0.8634265228623998,0.18295640140148478
0.46,1.0583592219971407,0.572392254813573,0.8814899658695359,0.2068122256995374
0.47000000000000003,1.0866151626284486,0.6053534587363228,0.8974632361910319,0.23184896330410465
0.48000000000000004,1.1150067775708146,0.6369075186579415,0.9115248595073926,0.25791227803809236
0.49,1.143531871125548,0.6669366853119916,0.9238522268347827,0.2848375855049683
0.5,1.1721883273272111,0.6953571708736943,0.9346176717956127,0.31245391090871666
0.51,1.200974105507346,0.7221163015675928,0.9439855997842762,0.3405875783677521
0.52,1.2298872361874083,0.7471892726260884,0.952110513036239,0.3690656304210419
0.53,1.2589258172705973,0.7705756928110306,0.9591357778475788,0.3977189017491882
0.54,1.2880880105055856,0.7922960740766551,0.9651929898806448,0.4263846955295532
0.55,1.317372038198046,0.8123883904844988,0.9704018076652731,0.4549090332393124
0.56,1.3467761801484155,0.8309048008350446,0.9748701408088478,0.4831484683950306
0.5700000000000001,1.3762987707965517,0.8479086027323193,0.9786945964276341,0.5109714712665113
0.5800000000000001,1.4059381965559177,0.8634714625471582,0.9819611037864456,0.538259404881759
0.59,1.4356928933216555,0.877670946223672,0.9847456523732584,0.5649071227092703
0.6,1.4655613441384394,0.8905883600411362,0.987115092241097,0.5908232254746606
0.61,1.4955420770153691,0.9023068980726008,0.9891279572504598,0.6159300189532735
0.62,1.52563366287637,0.9129100838274564,0.990835281829322,0.6401632166502591
0.63,1.5558347136356387,0.9224804870217066,0.9922813901257331,0.663471431430421
0.64,1.5861438803886383,0.9310986921601643,0.9935046431136043,0.6858154987853919
0.65,1.6165598517100068,0.9388424932217478,0.9945381345103073,0.7071676718970289
0.66,1.6470813520505059,0.9457862878239152,0.9954103304699071,0.727510725310254
0.67,1.6777071402258328,0.9520006444569254,0.9961456511185784,0.746837000160363
0.68,1.708436007990735,0.9575520174212014,0.9967649942759519,0.7651474197577628
0.6900000000000001,1.7392667786924294,0.9625025857172953,0.9972862033165288,0.7824505001199928
0.7000000000000001,1.7701983059978212,0.9669101941194139,0.9977244822072204,0.7987613759159269
0.7100000000000001,1.8012294726894862,0.9708283768440338,0.998092761428304,0.8141008583695923
0.72,1.8323591895257807,0.9743064464762862,0.9984020188439237,0.8284945380453439
0.73,1.8635863941608173,0.9773896330424712,0.9986615597151682,0.8419719421564716
0.74,1.8949100501203846,0.9801192602484343,0.9988792600085472,0.8545657531351332
0.75,1.9263291458301988,0.9825329478941837,0.9990617769965953,0.8663110926823512
0.76,1.9578426936931435,0.9846648312964268,0.9992147309152473,0.8772448733767845
0.77,1.9894497292124185,0.9865457901880125,0.9993428611649521,0.8874052181428302
0.78,2.021149310157745,0.9882036810124203,0.999450160241966,0.8968309464370365
0.79,2.052940515771991,0.9896635677959927,0.9995399882794489,0.9055611248764204
0.8,2.084822446015757,0.9909479478694724,0.9996151707765876,0.9136346791699295
0.81,2.1167942208476758,0.9920769696359908,0.9996780818059042,0.9210900635908391
0.8200000000000001,2.14885497953829,0.993068640359451,0.9997307147192095,0.9279649838096745
0.8300000000000001,2.181003880015572,0.9939390225906596,0.9997747421242023,0.9342961686621396
0.8400000000000001,2.2132400982402536,0.9947024183741612,0.9998115666777639,0.9401191863245201
0.85,2.2455628276092634,0.9953715408016051,0.9998423640387009,0.9454683003827808
0.86,2.2779712783857042,0.9959576728118951,0.9998681191413962,0.9503763613866324
0.87,2.3104646771538793,0.9964708133974869,0.9998896567913885,0.9548747296546849
0.88,2.343042266298003,0.9969198115719484,0.999907667442826,0.9589932253228557
0.89,2.375703303503302,0.9973124885969215,0.9999227288944031,0.9627601018896174
0.9,2.4084470612783093,0.9976557490663148,0.9999353245330894,0.9662020397952426
0.91,2.4412728264972143,0.9979556815100536,0.9999458586620174,0.9693441568670738
0.92,2.474179899961235,0.9982176492160535,0.9999546693687,0.9722100327602285
0.93,2.507167595977999,0.998446371983224,0.999962039320795,0.9748217448161998
0.9400000000000001,2.540235241958028,0.9986459995152924,0.9999682048175158,0.9771999130452319
0.9500000000000001,2.573382178027446,0.9988201771492473,0.9999733633742626,0.9793637522082682
0.9600000000000001,2.6066077566560955,0.9989721045867064,0.9999776800749478,0.9813311292279513
0.97,2.6399113423002953,0.9991045882643367,0.9999812928898327,0.983118624393865
0.98,2.6732923110595213,0.9992200879628681,0.9999843171255562,0.9847415950439548
0.99,2.706750050346322,0.999320758215063,0.9999868491476546,0.9862142406015297
1.0,2.7402839585688445,0.9994084850326584,0.9999889694935392,0.9875496680255812
1.01,2.7738934448253496,0.999484918431869,0.9999907454750457,0.9887599568918872
1.02,2.807577928610166,0.9995515011973706,0.9999922333537417,0.9898562234643257
1.03,2.8413368395305363,0.9996094942863588,0.9999934801587811,0.9908486832409941
1.04,2.87516961703385,0.9996599992377455,0.9999945252057967,0.9917467115692772
1.05,2.9090757101447955,0.9997039779170775,0.9999954013658343,0.9925589020191095
1.06,2.9430545772119685,0.9997422698955236,0.9999961361253605,0.9932931222856093
1.07,2.9771056856635116,0.9997756077313456,0.9999967524716766,0.993956567462228
1.08,3.0112285117713897,0.9998046303946684,0.9999972696324673,0.9945558105847776
1.09,3.045422540423914,0.9998298950510491,0.9999977036934989,0.9950968503963264
1.1,3.0796872649061457,0.9998518873962404,0.9999980681145471,0.995585156324071
1.11,3.114022186687854,0.9998710307135544,0.9999983741603317,0.9960257106929267
1.12,3.1484268152186834,0.9998876938062294,0.9999986312604777,0.9964230482276714
1.1300000000000001,3.1829006677302405,0.9999021979400655,0.9999988473102103,0.9967812929168819
1.1400000000000001,3.217443269044792,0.9999148229161818,0.9999990289215639,0.9971041923284213
1.1500000000000001,3.2520541513903085,0.9999258123799352,0.9999991816332696,0.9973951494785492
1.1600000000000001,3.286732854221587,0.9999353784596766,0.9999993100861391,0.9976572523654954
1.17,3.3214789240471934,0.9999437058180026,0.9999994181696372,0.997893301284101
1.18,3.356291914262006,0.9999509551883364,0.9999995091443926,0.9981058340413991
1.19,3.391171384985107,0.9999572664609548,0.9999995857446146,0.9982971491942112
1.2,3.426116902902835,0.9999627613748382,0.9999996502637263,0.9984693274293565
1.21,3.461128041116771,0.9999675458648681,0.9999997046259776,0.998624251205241
1.22,3.4962043789964734,0.9999717121078426,0.999999750446346,0.9987636227706932
1.23,3.531345502036779,0.9999753403054259,0.9999997890806498,0.9988889806731895
1.24,3.566551001719479,0.9999785002374363,0.9999998216674837,0.9990017148642717
1.25,3.601820475379217,0.9999812526147208,0.9999998491633187,0.9991030805051738
1.26,3.6371535260734387,0.9999836502572084,0.999999872371887,0.9991942105705953
1.27,3.6725497624562404,0.9999857391195259,0.9999998919687888,0.9992761273433018
1.28,3.708008798655972,0.9999875591837368,0.9999999085221036,0.9993497528869042
1.29,3.743530254156451,0.9999891452362907,0.9999999225096591,0.9994159185788412
1.3,3.779113753681659,0.999990527544103,0.9999999343335028,0.9994753737803369
1.31,3.814758927083787,0.9999917324427864,0.999999944332034,0.9995287937149725
1.32,3.850465409234509,0.9999927828483886,0.9999999527901765,0.9995767866225396
1.33,3.886232839919373,0.9999936987025434,0.999999959947911,0.9996199002500618
1.34,3.9220608637351817,0.9999944973596668,0.9999999660074342,0.9996586277373037
1.35,3.9579491299902805,0.9999951939237203,0.9999999711391668,0.9996934129497415
1.36,3.993897292607622,0.9999958015410948,0.9999999754867979,0.9997246553078588
1.37,4.029905010030535,0.9999963316553235,0.9999999791715197,0.9997527141577646
1.3800000000000001,4.065971945131084,0.99999679422859,0.9999999822955875,0.9997779127244898
1.3900000000000001,4.102097765120945,0.9999971979343585,0.9999999849453082,0.9998005416859255
1.4000000000000001,4.138282141464696,0.9999975503248895,0.9999999871935542,0.99982086240219
1.4100000000000001,4.174524749795453,0.9999978579769162,0.9999999891018769,0.9998391098322695
1.42,4.210825269832761,0.9999981266183313,0.9999999907222842,0.999855495167035
1.43,4.247183385302684,0.9999983612383606,0.9999999920987359,0.9998702082052128
1.44,4.28359878385998,0.9999985661833812,0.999999993268403,0.9998834194965431
1.45,4.320071157012348,0.999998745240258,0.9999999942627272,0.9998952822742077
1.46,4.356600200046622,0.9999989017088258,0.9999999951083142,0.9999059341966225
1.47,4.393185611956897,0.9999990384649384,0.9999999958276852,0.9999154989168743
1.48,4.429827095374484,0.9999991580153132,0.9999999964399113,0.9999240874964
1.49,4.466524356499668,0.9999992625452431,0.9999999969611482,0.9999317996779881
1.5,4.503277105035184,0.999999353960107,0.9999999974050862,0.9999387250317703
1.51,4.540085054121375,0.9999994339214888,0.9999999977833314,0.9999449439866044
1.52,4.576947920272975,0.9999995038786068,0.9999999981057265,0.9999505287580713
1.53,4.613865423317453,0.9999995650956656,0.9999999983806215,0.9999555441832543
1.54,4.650837286334891,0.9999996186756631,0.9999999986151029,0.9999600484714953
1.55,4.687863235599327,0.9999996655811128,0.9999999988151874,0.9999640938794448
1.56,4.724943000521538,0.9999997066520842,0.9999999989859847,0.9999677273179197
1.57,4.762076313593196,0.9999997426219097,0.9999999991318361,0.9999709908973573
1.58,4.799262910332381,0.999999774130863,0.9999999992564319,0.9999739224179954
1.59,4.8365025292303825,0.99999980173807,0.9999999993629093,0.9999765558103072
1.6,4.8737949116997825,0.9999998259318846,0.9999999994539368,0.9999789215306817
1.61,4.911139802023745,0.9999998471389273,0.9999999995317852,0.9999810469168471
1.62,4.948536947306511,0.9999998657319598,0.9999999995983873,0.9999829565070925
1.6300000000000001,4.985986097425038,0.9999998820367471,0.9999999996553885,0.99998467232694
1.6400000000000001,5.023487004981766,0.9999998963380385,0.9999999997041913,0.99998621414656
1.6500000000000001,5.061039425258471,0.999999908884781,0.9999999997459899,0.9999875997118894
1.6600000000000001,5.098643116171168,0.9999999198946629,0.9999999997818027,0.9999888449521234
1.6700000000000002,5.136297838226052,0.999999929558078,0.9999999998124981,0.9999899641659769
1.68,5.174003354476424,0.9999999380415812,0.9999999998388169,0.9999909701888791
1.69,5.211759430480597,0.9999999454909025,0.9999999998613915,0.9999918745430394
1.7,5.249565834260729,0.9999999520335778,0.9999999998807616,0.9999926875721328
1.71,5.287422336262585,0.9999999577812426,0.999999999897388,0.9999934185621755
1.72,5.32532870931618,0.9999999628316353,0.9999999999116643,0.9999940758499994
1.73,5.363284728597282,0.9999999672703445,0.9999999999239274,0.9999946669205962
1.74,5.401290171589771,0.9999999711723357,0.9999999999344648,0.9999951984944688
1.75,5.4393448180487995,0.9999999746032833,0.9999999999435226,0.9999956766060136
1.76,5.477448449964752,0.9999999776207341,0.9999999999513113,0.9999961066738541
1.77,5.515600851527987,0.9999999802751249,0.9999999999580111,0.9999964935639503
1.78,5.55380180909432,0.999999982610669,0.9999999999637764,0.9999968416462259
1.79,5.592051111151243,0.9999999846661338,0.9999999999687391,0.999997154845379
1.8,5.6303485482848625,0.9999999864755179,0.9999999999730126,0.999997436686472
1.81,5.6686939131475205,0.9999999880686449,0.9999999999766939,0.9999976903358402
1.82,5.707087000426098,0.9999999894716811,0.999999999979866,0.9999979186377981
1.83,5.745527606810981,0.9999999907075899,0.9999999999826004,0.9999981241475757
1.84,5.784015530965654,0.9999999917965273,0.9999999999849583,0.9999983091608736
1.85,5.822550573496929,0.9999999927561896,0.9999999999869922,0.9999984757403833
1.86,5.861132536925781,0.9999999936021168,0.9999999999887473,0.9999986257395856
1.87,5.8997612256587635,0.9999999943479582,0.9999999999902622,0.999998760824108
1.8800000000000001,5.938436445960026,0.9999999950057056,0.9999999999915704,0.99999888249089
1.8900000000000001,5.977158005923864,0.9999999955858961,0.9999999999927005,0.9999989920853838
1.9000000000000001,6.015925715447844,0.9999999960977914,0.9999999999936768,0.999999090816992
1.9100000000000001,6.054739386206443,0.9999999965495335,0.9999999999945208,0.999999179772923
1.9200000000000002,6.093598831625225,0.9999999969482817,0.9999999999952506,0.9999992599306275
1.93,6.132503866855508,0.9999999973003328,0.9999999999958817,0.9999993321689619
1.94,6.17145430874955,0.9999999976112262,0.9999999999964279,0.9999993972782089
1.95,6.210449975836193,0.9999999978858358,0.9999999999969006,0.9999994559690741
1.96,6.249490688296998,0.9999999981284513,0.9999999999973098,0.9999995088807626
1.97,6.288576267942828,0.9999999983428488,0.9999999999976643,0.9999995565882293
1.98,6.327706538190892,0.9999999985323532,0.9999999999979714,0.9999995996086911
1.99,6.366881324042208,0.9999999986998928,0.9999999999982376,0.9999996384074727
2.0,6.406100452059516,0.9999999988480466,0.9999999999984683,0.9999996734032577
2.01,6.445363750345595,0.9999999989790874,0.9999999999986684,0.9999997049728024
2.02,6.484671048521984,0.999999999095018,0.999999999998842,0.9999997334551728
2.03,6.524022177708113,0.9999999991976039,0.9999999999989927,0.9999997591555468
2.04,6.563416970500817,0.9999999992884014,0.9999999999991235,0.9999997823486324
2.05,6.602855260954216,0.9999999993687834,0.999999999999237,0.9999998032817373
2.0599999999999996,6.64233688456,0.9999999994399603,0.9999999999993356,0.9999998221775268
2.07,6.681861678228034,0.9999999995030007,0.9999999999994214,0.999999839236502
2.0799999999999996,6.721429480267344,0.9999999995588468,0.9999999999994958,0.9999998546392271
2.09,6.7610401303674434,0.9999999996083309,0.9999999999995606,0.9999998685483306
2.0999999999999996,6.800693469579985,0.9999999996521873,0.999999999999617,0.9999998811103031
2.11,6.840389340300768,0.9999999996910649,0.9999999999996659,0.9999998924571158
2.1199999999999997,6.880127586252029,0.9999999997255363,0.9999999999997086,0.9999999027076724
2.13,6.919908052465096,0.9999999997561078,0.9999999999997458,0.9999999119691159
2.1399999999999997,6.9597305852633,0.9999999997832265,0.9999999999997781,0.9999999203380043
2.15,6.999595032245235,0.9999999998072877,0.9999999999998062,0.9999999279013662
2.1599999999999997,7.039501242268274,0.9999999998286409,0.9999999999998307,0.9999999347376507
2.17,7.079449065432398,0.9999999998475948,0.9999999999998521,0.9999999409175822
2.1799999999999997,7.119438353064292,0.9999999998644228,0.9999999999998708,0.9999999465049287
2.19,7.159468957701729,0.9999999998793666,0.999999999999887,0.9999999515571935
2.1999999999999997,7.199540733078208,0.9999999998926401,0.9999999999999012,0.9999999561262365
2.21,7.239653534107876,0.9999999999044326,0.9999999999999136,0.9999999602588343
2.2199999999999998,7.279807216870678,0.9999999999149114,0.9999999999999244,0.9999999639971837
2.23,7.320001638597799,0.999999999924225,0.9999999999999338,0.999999967379355
2.2399999999999998,7.360236657657316,0.9999999999325047,0.999999999999942,0.9999999704396997
2.25,7.400512133540113,0.999999999939867,0.9999999999999493,0.9999999732092176
2.26,7.440827926846024,0.9999999999464148,0.9999999999999556,0.999999975715888
2.27,7.481183899270212,0.9999999999522394,0.999999999999961,0.9999999779849664
2.28,7.521579913589772,0.999999999957422,0.9999999999999659,0.9999999800392533
2.29,7.562015833650559,0.9999999999620341,0.9999999999999701,0.9999999818993353
2.3,7.602491524354224,0.9999999999661396,0.9999999999999738,0.9999999835838019
2.31,7.643006851645479,0.9999999999697948,0.999999999999977,0.9999999851094427
2.32,7.683561682499554,0.9999999999730498,0.9999999999999798,0.9999999864914221
2.3299999999999996,7.724155884909868,0.999999999975949,0.9999999999999822,0.9999999877434397
2.34,7.7647893278758975,0.9999999999785318,0.9999999999999845,0.9999999888778726
2.3499999999999996,7.8054618813912375,0.9999999999808333,0.9999999999999863,0.999999989905905
2.36,7.846173416431862,0.9999999999828846,0.999999999999988,0.9999999908376441
2.3699999999999997,7.8869238049445585,0.9999999999847132,0.9999999999999895,0.9999999916822256
2.38,7.927712919835572,0.9999999999863436,0.9999999999999908,0.9999999924479074
2.3899999999999997,7.968540634959391,0.9999999999877976,0.9999999999999919,0.9999999931421555
2.4,8.009406825107757,0.9999999999890946,0.9999999999999928,0.9999999937717207
2.4099999999999997,8.050311365998798,0.9999999999902517,0.9999999999999937,0.9999999943427078
2.42,8.091254134266384,0.9999999999912843,0.9999999999999944,0.9999999948606384
2.4299999999999997,8.132235007449593,0.999999999992206,0.9999999999999951,0.999999995330507
2.44,8.173253863982392,0.9999999999930287,0.9999999999999957,0.999999995756832
2.4499999999999997,8.214310583183442,0.9999999999937634,0.9999999999999962,0.9999999961437016
2.46,8.255405045246084,0.9999999999944196,0.9999999999999967,0.9999999964948156
2.4699999999999998,8.296537131228455,0.9999999999950057,0.9999999999999971,0.9999999968135223
